block,tx,orderId,purchaseProduct,amountFormatted,buyer,referrer,recipient,rewardLogic
7619380,0xa6b985575422a0561a6c9cc56b421883e55308bee6b8fc1129e6ad3d0af74fe5,1,矿机,5.0,0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,购买矿机触发Referral池分账，奖励=订单金额x5%(500/10000)；本条奖励5.0 USDx5，购买人=0x7123a25d205190e6844712cb18e39d6dd5316143，推荐人=0x744447d8580eb900b199e852c132f626247a36f7，奖励到账=0x744447d8580eb900b199e852c132f626247a36f7
7619737,0x78be69e7c5991db6bcab6489f5fce95b9d92a00a6a96ec98cadaf977cc1eebcd,2,矿机,5.0,0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,购买矿机触发Referral池分账，奖励=订单金额x5%(500/10000)；本条奖励5.0 USDx5，购买人=0x7123a25d205190e6844712cb18e39d6dd5316143，推荐人=0x744447d8580eb900b199e852c132f626247a36f7，奖励到账=0x744447d8580eb900b199e852c132f626247a36f7
7619742,0x411023b951615cf59ffdbe24764fbe748922df93ea140090eddf63258528cc54,1000000001,节点,50.0,0x7123a25d205190e6844712cb18e39d6dd5316143,,0x744447d8580eb900b199e852c132f626247a36f7,购买节点触发Referral池分账，奖励=订单金额x5%(500/10000)；本条奖励50.0 USDx5，购买人=0x7123a25d205190e6844712cb18e39d6dd5316143，推荐人=链上推荐关系中的推荐人，奖励到账=0x744447d8580eb900b199e852c132f626247a36f7
7619746,0x22848317b4b8fd6844e931d76843c1050993da786cdef5b398a396193f0a5162,2000000001,超级节点,150.0,0x7123a25d205190e6844712cb18e39d6dd5316143,,0x744447d8580eb900b199e852c132f626247a36f7,购买超级节点触发Referral池分账，奖励=订单金额x5%(500/10000)；本条奖励150.0 USDx5，购买人=0x7123a25d205190e6844712cb18e39d6dd5316143，推荐人=链上推荐关系中的推荐人，奖励到账=0x744447d8580eb900b199e852c132f626247a36f7
7619875,0x3b58d6503d33d782f87868eadf8cc8d6f91df22b30854346a3fb089f90859d54,3,矿机,5.0,0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,购买矿机触发Referral池分账，奖励=订单金额x5%(500/10000)；本条奖励5.0 USDx5，购买人=0x7123a25d205190e6844712cb18e39d6dd5316143，推荐人=0x744447d8580eb900b199e852c132f626247a36f7，奖励到账=0x744447d8580eb900b199e852c132f626247a36f7
7621303,0xeb588dcb3dab12b84bc574edfba29ab1e3aa1ca0c31ba410ce5e84dceb57bd07,4,矿机,50.0,0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,购买矿机触发Referral池分账，奖励=订单金额x5%(500/10000)；本条奖励50.0 USDx5，购买人=0x7123a25d205190e6844712cb18e39d6dd5316143，推荐人=0x744447d8580eb900b199e852c132f626247a36f7，奖励到账=0x744447d8580eb900b199e852c132f626247a36f7
7621330,0xb460692e7c29152ed256660ffb248a4e22b8d05ecfbccc50af52d6ad57cf95b4,5,矿机,50.0,0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,购买矿机触发Referral池分账，奖励=订单金额x5%(500/10000)；本条奖励50.0 USDx5，购买人=0x7123a25d205190e6844712cb18e39d6dd5316143，推荐人=0x744447d8580eb900b199e852c132f626247a36f7，奖励到账=0x744447d8580eb900b199e852c132f626247a36f7
7626694,0x8f19aec0a9d4f065ecc67c16c00eee7ff004254217c7116b8b059d2b35d8625b,1000000002,节点,50.0,0x2f0549714e63b91d07c84100f1e753d4516bb9f0,,0x744447d8580eb900b199e852c132f626247a36f7,购买节点触发Referral池分账，奖励=订单金额x5%(500/10000)；本条奖励50.0 USDx5，购买人=0x2f0549714e63b91d07c84100f1e753d4516bb9f0，推荐人=链上推荐关系中的推荐人，奖励到账=0x744447d8580eb900b199e852c132f626247a36f7
7626709,0xceadae3781461fd09f620e852aca9575c1b27e339c311dada935ac645bedc912,2000000002,超级节点,150.0,0x2f0549714e63b91d07c84100f1e753d4516bb9f0,,0x744447d8580eb900b199e852c132f626247a36f7,购买超级节点触发Referral池分账，奖励=订单金额x5%(500/10000)；本条奖励150.0 USDx5，购买人=0x2f0549714e63b91d07c84100f1e753d4516bb9f0，推荐人=链上推荐关系中的推荐人，奖励到账=0x744447d8580eb900b199e852c132f626247a36f7
7630223,0xd2e1247916312e28225e0dbea1cca006b399c1cc15a11a424806d0f332a1f1e5,6,矿机,5.0,0x2f0549714e63b91d07c84100f1e753d4516bb9f0,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,购买矿机触发Referral池分账，奖励=订单金额x5%(500/10000)；本条奖励5.0 USDx5，购买人=0x2f0549714e63b91d07c84100f1e753d4516bb9f0，推荐人=0x744447d8580eb900b199e852c132f626247a36f7，奖励到账=0x744447d8580eb900b199e852c132f626247a36f7
