eventType,poolType,poolName,amountRaw,amountFormatted,tokenSymbol,tokenDecimals,basisSourceEvent,basisFormula,sourceUser,sourceReferrer,recipientOrBeneficiary,dayId,rank,luckyRank,orderId,block,tx
PoolAllocated,0,Liquidity,60000000000000000000,60.0,USDx5,18,MachinePurchased,60000000000000000000 = 100000000000000000000 * 6000/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,1,7619380,0xa6b985575422a0561a6c9cc56b421883e55308bee6b8fc1129e6ad3d0af74fe5
PoolAllocated,1,Referral,5000000000000000000,5.0,USDx5,18,MachinePurchased,5000000000000000000 = 100000000000000000000 * 500/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,1,7619380,0xa6b985575422a0561a6c9cc56b421883e55308bee6b8fc1129e6ad3d0af74fe5
PoolAllocated,2,SuperNode,5000000000000000000,5.0,USDx5,18,MachinePurchased,5000000000000000000 = 100000000000000000000 * 500/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,1,7619380,0xa6b985575422a0561a6c9cc56b421883e55308bee6b8fc1129e6ad3d0af74fe5
PoolAllocated,3,Node,8000000000000000000,8.0,USDx5,18,MachinePurchased,8000000000000000000 = 100000000000000000000 * 800/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,1,7619380,0xa6b985575422a0561a6c9cc56b421883e55308bee6b8fc1129e6ad3d0af74fe5
PoolAllocated,4,Platform,20000000000000000000,20.0,USDx5,18,MachinePurchased,20000000000000000000 = 100000000000000000000 * 2000/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,1,7619380,0xa6b985575422a0561a6c9cc56b421883e55308bee6b8fc1129e6ad3d0af74fe5
PoolAllocated,5,Leaderboard,2000000000000000000,2.0,USDx5,18,MachinePurchased,2000000000000000000 = 100000000000000000000 * 200/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,1,7619380,0xa6b985575422a0561a6c9cc56b421883e55308bee6b8fc1129e6ad3d0af74fe5
PoolAllocated,0,Liquidity,60000000000000000000,60.0,USDx5,18,MachinePurchased,60000000000000000000 = 100000000000000000000 * 6000/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,2,7619737,0x78be69e7c5991db6bcab6489f5fce95b9d92a00a6a96ec98cadaf977cc1eebcd
PoolAllocated,1,Referral,5000000000000000000,5.0,USDx5,18,MachinePurchased,5000000000000000000 = 100000000000000000000 * 500/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,2,7619737,0x78be69e7c5991db6bcab6489f5fce95b9d92a00a6a96ec98cadaf977cc1eebcd
PoolAllocated,2,SuperNode,5000000000000000000,5.0,USDx5,18,MachinePurchased,5000000000000000000 = 100000000000000000000 * 500/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,2,7619737,0x78be69e7c5991db6bcab6489f5fce95b9d92a00a6a96ec98cadaf977cc1eebcd
PoolAllocated,3,Node,8000000000000000000,8.0,USDx5,18,MachinePurchased,8000000000000000000 = 100000000000000000000 * 800/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,2,7619737,0x78be69e7c5991db6bcab6489f5fce95b9d92a00a6a96ec98cadaf977cc1eebcd
