metric,value
latestBlock,7632616
tokenSymbol,USDx5
tokenDecimals,18
count_poolAllocated,84
count_poolRewardSettled,0
count_leaderboardSettled,0
count_leaderboardLuckySettled,0
count_rewardSettled,0
total_poolAllocated,14600.0
total_poolRewardSettled,0.0
total_leaderboardSettled,0.0
total_leaderboardLuckySettled,0.0
total_rewardSettled,0.0
recipient_0x744447d8580eb900b199e852c132f626247a36f7_count,81
recipient_0x744447d8580eb900b199e852c132f626247a36f7_amount,14395.0
recipient_0x2f0549714e63b91d07c84100f1e753d4516bb9f0_count,3
recipient_0x2f0549714e63b91d07c84100f1e753d4516bb9f0_amount,205.0
